trial_num,data_segment,violation,shape,wall_type,obj_width,obj_height,opening_width,opening_height
51,train,False,Cylinder,Open,1.4,0.6,1.2,1.6
52,train,False,Cylinder,Open,0.8,1.4,0.6,0.6
53,train,False,Cylinder,Soft,1.2,0.9,0.0,0.0
54,train,False,Cube,Soft,1.4,0.8,0.0,0.0
55,train,False,Torus,Normal,1.1,0.4,0.0,0.0
56,train,False,Torus,Open,0.7,0.5,0.6,1.1
57,train,False,Side_Cylinder,Soft,1.1,0.9,0.0,0.0
58,train,False,Cylinder,Open,1.6,1.0,1.6,1.7
59,train,False,Cylinder,Open,0.7,1.2,1.2,1.6
60,train,False,Torus,Open,1.1,1.1,1.6,1.5
61,train,False,Cube,Open,1.5,0.6,1.3,1.6
62,train,False,Cube,Open,1.1,1.1,1.0,1.8
63,train,False,Cube,Open,1.4,1.0,0.9,0.9
64,train,False,Cube,Soft,1.6,1.1,0.0,0.0
65,train,False,Sphere,Open,1.4,1.4,0.9,1.2
66,train,False,Cube,Open,1.4,1.1,0.8,1.6
67,train,False,Side_Cylinder,Normal,0.5,1.2,0.0,0.0
68,train,False,Side_Cylinder,Open,1.0,0.4,1.5,0.9
69,train,False,Torus,Open,0.4,1.1,0.9,0.6
70,train,False,Side_Cylinder,Open,1.5,1.1,1.2,0.6
71,train,False,Cylinder,Open,0.6,1.3,1.2,1.3
72,train,False,Side_Cylinder,Open,0.5,1.4,1.1,1.0
73,train,False,Cube,Open,1.6,1.1,1.3,1.8
74,train,False,Sphere,Normal,1.2,0.9,0.0,0.0
75,train,False,Cube,Open,1.4,1.2,0.6,0.9
76,train,False,Cylinder,Soft,1.6,1.0,0.0,0.0
77,train,False,Side_Cylinder,Open,0.5,0.9,1.3,0.7
78,train,False,Inverted_Cone,Open,0.7,1.0,1.1,1.1
79,train,False,Side_Cylinder,Normal,0.8,0.9,0.0,0.0
80,train,False,Torus,Soft,1.3,1.0,0.0,0.0
81,train,False,Sphere,Open,0.5,1.4,1.1,1.8
82,train,False,Sphere,Normal,0.5,1.1,0.0,0.0
83,train,False,Cone,Open,1.2,0.6,1.0,1.5
84,train,False,Side_Cylinder,Open,1.6,0.4,0.7,1.3
85,train,False,Cube,Open,1.3,1.2,1.3,0.6
86,train,False,Cone,Normal,0.6,1.2,0.0,0.0
87,train,False,Inverted_Cone,Open,0.5,0.5,0.8,1.5
88,train,False,Torus,Normal,1.4,0.9,0.0,0.0
89,train,False,Side_Cylinder,Open,1.2,0.9,1.0,1.5
90,train,False,Sphere,Open,0.9,1.2,1.1,0.7
91,train,False,Cone,Open,1.3,0.8,0.9,0.9
92,train,False,Inverted_Cone,Open,1.1,0.6,1.4,1.7
93,train,False,Cone,Open,1.1,0.7,1.0,1.1
94,train,False,Cube,Soft,1.1,1.4,0.0,0.0
95,train,False,Cylinder,Open,1.1,1.1,1.6,1.3
96,train,False,Sphere,Soft,1.5,0.6,0.0,0.0
97,train,False,Torus,Soft,0.8,1.1,0.0,0.0
98,train,False,Torus,Open,1.2,1.2,1.4,1.4
99,train,False,Inverted_Cone,Soft,1.0,0.6,0.0,0.0
100,train,False,Cone,Open,1.3,0.5,0.8,1.0
101,train,False,Side_Cylinder,Normal,0.4,0.9,0.0,0.0
102,train,False,Cube,Normal,1.3,0.9,0.0,0.0
103,train,False,Cube,Normal,0.6,1.2,0.0,0.0
104,train,False,Inverted_Cone,Open,1.6,0.7,1.5,1.0
105,train,False,Cylinder,Open,1.3,0.6,1.3,0.9
106,train,False,Torus,Open,1.5,0.8,1.2,1.2
107,train,False,Cube,Soft,0.7,1.0,0.0,0.0
108,train,False,Torus,Open,1.4,1.4,1.6,1.5
109,train,False,Sphere,Open,1.5,0.6,1.0,0.7
110,train,False,Inverted_Cone,Open,0.7,1.0,1.5,0.8
111,train,False,Cylinder,Open,0.9,0.9,0.7,0.8
112,train,False,Cylinder,Open,0.6,0.5,1.4,1.3
113,train,False,Inverted_Cone,Open,0.6,0.5,0.9,0.9
114,train,False,Cone,Open,0.8,0.4,1.2,1.6
115,train,False,Sphere,Soft,0.9,0.8,0.0,0.0
116,train,False,Inverted_Cone,Open,0.5,0.9,0.8,0.9
117,train,False,Sphere,Soft,0.8,0.9,0.0,0.0
118,train,False,Torus,Open,1.1,0.4,0.8,0.7
119,train,False,Cylinder,Open,1.5,1.3,1.4,1.6
120,train,False,Cube,Normal,1.3,0.4,0.0,0.0
121,train,False,Cube,Open,0.5,0.9,1.0,1.5
122,train,False,Side_Cylinder,Soft,0.9,1.1,0.0,0.0
123,train,False,Torus,Normal,0.7,1.0,0.0,0.0
124,train,False,Sphere,Open,1.5,0.8,0.9,1.1
125,train,False,Cone,Normal,0.9,0.8,0.0,0.0
126,train,False,Inverted_Cone,Soft,1.2,0.5,0.0,0.0
127,train,False,Cone,Open,1.3,0.6,0.6,1.1
128,train,False,Inverted_Cone,Open,1.5,0.8,0.7,0.8
129,train,False,Cylinder,Open,0.7,1.3,1.3,1.2
130,train,False,Torus,Normal,0.5,1.0,0.0,0.0
131,train,False,Cylinder,Normal,0.8,0.6,0.0,0.0
132,train,False,Cone,Open,0.7,1.2,0.7,1.6
133,train,False,Inverted_Cone,Soft,1.6,1.3,0.0,0.0
134,train,False,Cone,Open,1.4,0.8,1.2,0.6
135,train,False,Sphere,Soft,0.7,1.4,0.0,0.0
136,train,False,Cylinder,Soft,1.5,0.4,0.0,0.0
137,train,False,Sphere,Soft,0.5,0.9,0.0,0.0
138,train,False,Sphere,Soft,0.5,1.1,0.0,0.0
139,train,False,Cube,Open,1.1,1.3,1.1,1.6
140,train,False,Side_Cylinder,Open,1.1,0.4,0.8,1.1
141,train,False,Torus,Open,0.8,0.4,0.6,1.2
142,train,False,Cone,Normal,0.6,0.8,0.0,0.0
143,train,False,Torus,Open,1.4,0.4,1.0,1.4
144,train,False,Cone,Open,1.1,0.9,0.9,1.7
145,train,False,Torus,Open,0.8,0.6,1.5,0.6
146,train,False,Side_Cylinder,Open,0.9,0.9,1.3,1.4
147,train,False,Cylinder,Open,0.9,0.8,0.6,1.2
148,train,False,Cylinder,Open,0.4,0.7,1.0,0.9
149,train,False,Torus,Open,1.1,1.4,1.3,1.3
150,train,False,Side_Cylinder,Open,1.5,0.8,1.3,1.0
151,train,False,Torus,Soft,0.7,0.8,0.0,0.0
152,train,False,Cylinder,Open,0.4,0.6,1.4,1.3
153,train,False,Inverted_Cone,Open,1.4,1.1,1.1,0.6
154,train,False,Sphere,Open,1.0,0.7,1.5,1.3
155,train,False,Sphere,Open,0.5,1.2,0.8,0.7
156,train,False,Sphere,Open,0.8,1.4,1.4,1.5
157,train,False,Cylinder,Open,0.6,0.9,1.5,0.7
158,train,False,Side_Cylinder,Normal,0.7,0.9,0.0,0.0
159,train,False,Cone,Soft,1.6,0.5,0.0,0.0
160,train,False,Side_Cylinder,Soft,0.7,0.4,0.0,0.0
161,train,False,Cube,Soft,1.1,0.8,0.0,0.0
162,train,False,Side_Cylinder,Open,1.0,0.7,1.2,1.7
163,train,False,Sphere,Soft,0.8,1.2,0.0,0.0
164,train,False,Cone,Open,1.3,0.4,0.7,1.3
165,train,False,Cube,Open,0.5,0.5,0.8,0.7
166,train,False,Inverted_Cone,Soft,0.6,1.1,0.0,0.0
167,train,False,Side_Cylinder,Soft,0.9,0.7,0.0,0.0
168,train,False,Inverted_Cone,Open,1.2,0.8,0.8,1.0
169,train,False,Cube,Open,0.5,1.4,1.6,1.4
170,train,False,Cube,Soft,0.8,0.5,0.0,0.0
171,train,False,Cone,Normal,1.5,1.0,0.0,0.0
172,train,False,Sphere,Normal,1.3,0.5,0.0,0.0
173,train,False,Sphere,Open,0.6,0.9,1.6,1.2
174,train,False,Cube,Open,1.5,0.6,0.7,1.5
175,train,False,Sphere,Open,0.4,0.5,1.5,0.6
176,train,False,Cylinder,Normal,1.2,0.8,0.0,0.0
177,train,False,Inverted_Cone,Open,0.9,0.5,1.1,1.8
178,train,False,Side_Cylinder,Open,1.3,1.1,1.5,1.5
179,train,False,Cylinder,Open,1.5,0.6,1.5,1.0
180,train,False,Cone,Open,1.3,1.2,1.3,1.3
181,train,False,Cube,Open,1.2,1.0,1.5,1.0
182,train,False,Torus,Normal,0.9,1.3,0.0,0.0
183,train,False,Cube,Open,1.6,0.4,0.6,1.2
184,train,False,Torus,Open,1.0,0.9,0.9,1.8
185,train,False,Sphere,Open,1.4,0.4,1.3,0.6
186,train,False,Side_Cylinder,Open,1.6,0.8,0.7,0.7
187,train,False,Side_Cylinder,Normal,1.2,0.9,0.0,0.0
188,train,False,Side_Cylinder,Open,0.8,0.6,1.4,1.8
189,train,False,Inverted_Cone,Soft,1.5,1.4,0.0,0.0
190,train,False,Cylinder,Normal,1.2,1.3,0.0,0.0
191,train,False,Sphere,Open,1.2,0.8,0.8,1.7
192,train,False,Torus,Open,1.1,0.9,0.7,1.7
193,train,False,Inverted_Cone,Open,1.1,0.6,0.9,1.4
194,train,False,Sphere,Open,1.4,1.1,0.9,1.3
195,train,False,Sphere,Open,0.9,0.5,1.6,1.0
196,train,False,Side_Cylinder,Open,1.4,0.5,0.7,1.2
197,train,False,Sphere,Normal,1.4,0.8,0.0,0.0
198,train,False,Torus,Soft,0.8,1.3,0.0,0.0
199,train,False,Inverted_Cone,Normal,1.5,0.4,0.0,0.0
200,train,False,Torus,Open,1.2,0.6,0.8,0.8
201,train,False,Inverted_Cone,Open,1.2,1.0,0.6,1.4
202,train,False,Side_Cylinder,Soft,1.0,0.4,0.0,0.0
203,train,False,Torus,Open,1.4,0.9,1.3,0.8
204,train,False,Cube,Open,0.5,0.5,1.6,1.0
205,train,False,Sphere,Normal,0.8,1.2,0.0,0.0
206,train,False,Torus,Soft,1.0,0.8,0.0,0.0
207,train,False,Sphere,Normal,1.2,1.1,0.0,0.0
208,train,False,Cube,Open,0.5,0.9,0.8,1.0
209,train,False,Side_Cylinder,Soft,1.3,0.7,0.0,0.0
210,train,False,Inverted_Cone,Soft,1.0,1.4,0.0,0.0
211,train,False,Torus,Open,0.6,0.7,0.7,0.6
212,train,False,Torus,Soft,1.1,1.0,0.0,0.0
213,train,False,Side_Cylinder,Open,0.6,1.2,1.4,1.4
214,train,False,Sphere,Open,1.5,0.6,1.0,1.0
215,train,False,Cone,Open,1.5,1.2,1.0,1.8
216,train,False,Cylinder,Open,1.4,0.6,1.5,0.8
217,train,False,Sphere,Open,1.4,0.6,0.9,1.5
218,train,False,Cylinder,Soft,1.0,0.5,0.0,0.0
219,train,False,Cone,Soft,1.6,1.0,0.0,0.0
220,train,False,Inverted_Cone,Open,1.6,1.2,1.6,0.8
221,train,False,Cylinder,Open,1.3,0.5,1.2,1.6
222,train,False,Side_Cylinder,Open,1.5,1.1,1.6,1.7
223,train,False,Inverted_Cone,Open,0.9,1.3,0.7,0.8
224,train,False,Cube,Soft,1.4,0.6,0.0,0.0
225,train,False,Cone,Soft,1.4,0.7,0.0,0.0
226,train,False,Side_Cylinder,Open,0.4,1.3,1.6,0.6
227,train,False,Cube,Normal,1.0,0.9,0.0,0.0
228,train,False,Inverted_Cone,Open,0.5,1.2,1.4,0.6
229,train,False,Sphere,Normal,1.1,1.1,0.0,0.0
230,train,False,Cone,Open,0.9,0.6,1.6,1.4
231,train,False,Side_Cylinder,Soft,1.6,1.3,0.0,0.0
232,train,False,Cube,Normal,1.6,1.1,0.0,0.0
233,train,False,Inverted_Cone,Open,1.2,1.0,1.6,1.5
234,train,False,Cone,Open,0.7,1.2,0.6,1.4
235,train,False,Cube,Open,0.6,1.2,0.9,1.2
236,train,False,Torus,Open,1.5,0.4,1.4,0.6
237,train,False,Cube,Open,1.3,0.5,1.6,0.6
238,train,False,Inverted_Cone,Soft,1.3,0.9,0.0,0.0
239,train,False,Cube,Open,0.8,0.6,1.1,1.3
240,train,False,Sphere,Open,1.6,0.9,1.2,1.0
241,train,False,Inverted_Cone,Normal,1.0,0.5,0.0,0.0
242,train,False,Sphere,Normal,1.1,1.4,0.0,0.0
243,train,False,Sphere,Open,1.3,1.1,1.5,0.8
244,train,False,Sphere,Open,1.3,1.0,0.7,1.0
245,train,False,Cone,Soft,0.7,0.6,0.0,0.0
246,train,False,Cube,Normal,0.6,0.4,0.0,0.0
247,train,False,Cube,Open,0.4,0.8,0.8,0.7
248,train,False,Side_Cylinder,Open,0.4,0.6,1.2,0.8
249,train,False,Torus,Open,0.7,0.7,1.4,1.1
250,train,False,Inverted_Cone,Normal,0.9,0.6,0.0,0.0
251,train,False,Cylinder,Open,1.6,0.6,1.1,1.1
252,train,False,Cylinder,Soft,1.5,0.6,0.0,0.0
253,train,False,Side_Cylinder,Open,0.6,0.4,0.8,1.2
254,train,False,Cone,Open,1.3,1.2,1.0,0.7
255,train,False,Sphere,Open,1.6,0.6,0.9,1.7
256,train,False,Sphere,Open,1.2,0.5,0.7,1.0
257,train,False,Cube,Open,1.1,1.1,1.5,1.6
258,train,False,Sphere,Open,0.5,0.9,0.8,1.3
259,train,False,Cone,Open,1.4,1.3,0.6,0.7
260,train,False,Cone,Open,0.4,1.0,0.6,0.9
261,train,False,Cone,Open,0.7,1.1,1.5,1.2
262,train,False,Cube,Open,0.9,0.5,0.8,1.6
263,train,False,Sphere,Open,1.1,1.1,0.7,0.9
264,train,False,Torus,Normal,0.9,0.6,0.0,0.0
265,train,False,Sphere,Open,0.7,0.9,1.1,1.3
266,train,False,Cone,Open,1.5,1.4,1.0,1.5
267,train,False,Cylinder,Normal,0.8,1.3,0.0,0.0
268,train,False,Cube,Soft,0.5,1.4,0.0,0.0
269,train,False,Cube,Open,1.6,1.4,1.6,1.2
270,train,False,Cube,Open,1.0,0.8,0.9,0.8
271,train,False,Cone,Soft,0.8,0.7,0.0,0.0
272,train,False,Cube,Open,1.0,0.8,1.4,1.8
273,train,False,Cylinder,Open,1.3,1.0,1.6,0.8
274,train,False,Sphere,Open,1.2,0.5,1.4,1.4
275,train,False,Cylinder,Open,1.0,0.8,1.6,1.3
276,train,False,Cube,Soft,0.4,0.6,0.0,0.0
277,train,False,Sphere,Open,1.4,0.5,1.3,1.8
278,train,False,Cube,Normal,0.9,1.0,0.0,0.0
279,train,False,Torus,Soft,0.6,1.1,0.0,0.0
280,train,False,Sphere,Normal,1.2,1.3,0.0,0.0
281,train,False,Side_Cylinder,Open,1.6,1.4,1.0,0.6
282,train,False,Cylinder,Open,0.4,0.5,1.1,1.3
283,train,False,Cube,Open,1.0,1.1,0.6,1.3
284,train,False,Cube,Open,1.6,1.1,1.5,1.5
285,train,False,Torus,Open,1.6,1.2,1.3,1.2
286,train,False,Sphere,Open,0.4,0.5,1.2,1.6
287,train,False,Torus,Open,1.3,1.1,1.1,1.4
288,train,False,Cylinder,Soft,1.5,0.8,0.0,0.0
289,train,False,Inverted_Cone,Open,0.7,1.0,1.4,1.4
290,train,False,Side_Cylinder,Soft,1.0,1.3,0.0,0.0
291,train,False,Cone,Open,0.7,1.4,0.9,1.3
292,train,False,Cone,Open,1.0,1.4,1.3,0.7
293,train,False,Cylinder,Open,1.3,1.2,0.9,1.4
294,train,False,Cube,Open,1.2,0.9,1.1,1.8
295,train,False,Side_Cylinder,Open,0.5,1.0,1.1,1.3
296,train,False,Cube,Open,1.6,0.8,1.3,0.7
297,train,False,Torus,Open,1.6,1.2,1.6,0.6
298,train,False,Cube,Open,1.3,0.9,0.7,1.2
299,train,False,Torus,Soft,0.7,1.2,0.0,0.0
300,train,False,Side_Cylinder,Normal,0.5,0.4,0.0,0.0
301,train,False,Side_Cylinder,Open,0.6,1.1,0.8,0.6
302,train,False,Cone,Open,1.6,1.3,1.5,1.6
303,train,False,Inverted_Cone,Soft,1.6,0.5,0.0,0.0
304,train,False,Cube,Normal,0.8,1.0,0.0,0.0
305,train,False,Torus,Open,1.6,1.4,1.1,1.8
306,train,False,Cube,Soft,1.6,0.9,0.0,0.0
307,train,False,Cube,Normal,1.0,1.4,0.0,0.0
308,train,False,Cylinder,Normal,1.5,0.4,0.0,0.0
309,train,False,Inverted_Cone,Open,1.4,1.1,1.1,1.4
310,train,False,Torus,Open,0.9,1.0,0.9,1.6
311,train,False,Cone,Soft,1.2,1.0,0.0,0.0
312,train,False,Inverted_Cone,Open,1.0,0.5,1.4,0.8
313,train,False,Cylinder,Soft,1.1,0.8,0.0,0.0
314,train,False,Sphere,Soft,1.1,1.1,0.0,0.0
315,train,False,Cube,Open,0.8,0.4,0.6,0.7
316,train,False,Torus,Open,0.6,0.6,1.2,0.9
317,train,False,Cube,Soft,1.3,0.5,0.0,0.0
318,train,False,Inverted_Cone,Soft,1.4,1.2,0.0,0.0
319,train,False,Inverted_Cone,Open,0.9,0.9,1.6,0.8
320,train,False,Cylinder,Open,0.9,0.6,0.9,1.8
321,train,False,Cylinder,Normal,1.0,0.7,0.0,0.0
322,train,False,Torus,Open,0.9,0.6,0.9,1.1
323,train,False,Side_Cylinder,Normal,0.5,1.3,0.0,0.0
324,train,False,Sphere,Normal,0.7,1.4,0.0,0.0
325,train,False,Side_Cylinder,Open,1.3,0.9,1.5,1.1
326,train,False,Cone,Open,1.2,1.1,1.4,1.3
327,train,False,Inverted_Cone,Normal,1.4,1.2,0.0,0.0
328,train,False,Torus,Open,1.2,0.9,0.8,1.3
329,train,False,Cube,Open,1.2,0.4,1.6,1.6
330,train,False,Cube,Open,0.4,0.7,0.8,1.5
331,train,False,Cone,Normal,1.6,0.6,0.0,0.0
332,train,False,Side_Cylinder,Open,0.6,0.9,0.7,1.6
333,train,False,Side_Cylinder,Open,0.7,0.7,0.9,1.5
334,train,False,Cone,Normal,1.0,0.4,0.0,0.0
335,train,False,Side_Cylinder,Soft,0.5,0.9,0.0,0.0
336,train,False,Cone,Open,1.1,0.4,0.9,0.6
337,train,False,Sphere,Open,0.8,0.6,1.0,1.2
338,train,False,Inverted_Cone,Normal,1.3,0.8,0.0,0.0
339,train,False,Cylinder,Soft,0.6,0.5,0.0,0.0
340,train,False,Cone,Open,1.4,1.2,0.9,1.8
341,train,False,Cone,Open,1.5,1.0,0.9,0.6
342,train,False,Torus,Normal,0.9,0.7,0.0,0.0
343,train,False,Sphere,Open,0.9,0.9,0.6,1.8
344,train,False,Inverted_Cone,Soft,0.9,1.0,0.0,0.0
345,train,False,Cube,Open,0.4,1.1,0.7,0.6
346,train,False,Side_Cylinder,Open,1.2,1.0,1.6,1.0
347,train,False,Cylinder,Open,0.9,0.9,0.9,1.1
348,train,False,Cone,Open,0.5,1.0,1.1,1.4
349,train,False,Torus,Open,0.4,0.8,1.5,1.2
350,train,False,Cube,Open,1.5,1.2,1.1,1.8
351,train,False,Inverted_Cone,Open,0.5,0.8,1.1,1.3
352,train,False,Torus,Open,1.2,1.1,1.0,1.6
353,train,False,Side_Cylinder,Normal,0.7,1.4,0.0,0.0
354,train,False,Side_Cylinder,Normal,0.6,0.8,0.0,0.0
355,train,False,Sphere,Open,0.4,1.4,1.1,0.7
356,train,False,Cylinder,Soft,1.1,1.3,0.0,0.0
357,train,False,Inverted_Cone,Normal,1.4,0.6,0.0,0.0
358,train,False,Sphere,Open,1.6,1.2,0.7,1.6
359,train,False,Cube,Open,1.2,1.0,0.6,1.6
360,train,False,Cylinder,Open,0.7,0.9,0.6,0.9
361,train,False,Torus,Open,1.6,1.0,0.8,0.6
362,train,False,Torus,Open,0.6,0.9,1.1,1.0
363,train,False,Cylinder,Open,0.6,0.4,1.1,1.4
364,train,False,Side_Cylinder,Soft,1.4,0.9,0.0,0.0
365,train,False,Cube,Open,1.1,1.0,0.8,0.7
366,train,False,Sphere,Open,1.3,1.1,1.5,1.2
367,train,False,Cylinder,Open,1.4,1.1,1.0,0.9
368,train,False,Torus,Open,1.4,0.7,1.0,1.8
369,train,False,Sphere,Open,1.5,0.4,1.0,0.7
370,train,False,Cylinder,Soft,0.5,0.7,0.0,0.0
371,train,False,Torus,Open,0.9,1.4,1.4,1.8
372,train,False,Cylinder,Normal,1.4,1.0,0.0,0.0
373,train,False,Torus,Open,0.9,0.4,1.1,1.1
374,train,False,Cube,Open,1.3,0.6,1.3,0.7
375,train,False,Inverted_Cone,Open,0.5,0.5,1.6,1.5
376,train,False,Cone,Normal,1.2,0.6,0.0,0.0
377,train,False,Torus,Open,1.6,0.9,1.0,0.7
378,train,False,Side_Cylinder,Open,1.3,1.4,1.6,1.7
379,train,False,Cube,Open,1.6,0.7,1.0,1.3
380,train,False,Torus,Soft,0.8,0.7,0.0,0.0
381,train,False,Side_Cylinder,Open,1.3,1.3,0.6,1.0
382,train,False,Cylinder,Open,0.5,0.9,1.5,1.0
383,train,False,Cone,Normal,0.9,0.6,0.0,0.0
384,train,False,Side_Cylinder,Open,1.4,1.3,0.9,1.5
385,train,False,Side_Cylinder,Normal,0.4,1.0,0.0,0.0
386,train,False,Side_Cylinder,Open,0.8,0.9,0.8,0.9
387,train,False,Inverted_Cone,Normal,0.6,1.0,0.0,0.0
388,train,False,Side_Cylinder,Open,0.7,1.2,0.9,1.1
389,train,False,Cylinder,Open,1.0,1.3,0.7,0.7
390,train,False,Cone,Open,1.5,1.1,1.3,1.6
391,train,False,Cube,Open,1.5,1.0,1.6,0.6
392,train,False,Torus,Open,0.5,0.4,0.8,1.6
393,train,False,Cube,Soft,0.4,0.8,0.0,0.0
394,train,False,Cone,Open,0.5,0.5,0.6,1.7
395,train,False,Side_Cylinder,Open,1.3,0.8,1.3,1.6
396,train,False,Cube,Open,1.1,0.5,1.1,1.1
397,train,False,Torus,Normal,1.0,1.2,0.0,0.0
398,train,False,Cube,Soft,1.1,0.6,0.0,0.0
399,train,False,Inverted_Cone,Open,1.5,0.6,1.1,0.9
400,train,False,Cylinder,Open,0.5,1.0,1.6,1.8
401,train,False,Cylinder,Soft,0.5,0.9,0.0,0.0
402,train,False,Cylinder,Open,1.0,1.4,0.6,1.5
403,train,False,Cylinder,Normal,1.5,1.2,0.0,0.0
404,train,False,Cylinder,Open,0.9,1.3,1.4,1.1
405,train,False,Cube,Soft,1.2,0.4,0.0,0.0
406,train,False,Inverted_Cone,Open,0.9,1.3,1.4,1.2
407,train,False,Cube,Open,0.9,1.4,1.4,1.1
408,train,False,Side_Cylinder,Open,1.6,0.5,1.1,1.6
409,train,False,Cylinder,Open,1.3,0.5,1.4,1.5
410,train,False,Torus,Open,1.5,0.6,0.8,0.7
411,train,False,Torus,Normal,1.5,0.5,0.0,0.0
412,train,False,Cube,Normal,0.4,0.5,0.0,0.0
413,train,False,Torus,Normal,1.1,0.5,0.0,0.0
414,train,False,Cone,Open,0.7,0.7,1.2,0.9
415,train,False,Sphere,Open,0.5,1.4,0.7,1.6
416,train,False,Torus,Normal,1.4,1.1,0.0,0.0
417,train,False,Inverted_Cone,Open,1.2,1.2,0.9,1.5
418,train,False,Inverted_Cone,Open,0.8,1.0,1.6,0.9
419,train,False,Torus,Soft,1.2,1.1,0.0,0.0
420,train,False,Sphere,Open,0.9,1.1,1.1,0.7
421,train,False,Cube,Normal,1.1,0.9,0.0,0.0
422,train,False,Sphere,Open,1.0,0.6,1.4,0.9
423,train,False,Sphere,Open,1.3,1.0,1.3,1.1
424,train,False,Cylinder,Open,0.6,0.5,1.4,1.6
425,train,False,Inverted_Cone,Open,0.5,0.9,0.6,1.2
426,train,False,Sphere,Normal,1.4,0.9,0.0,0.0
427,train,False,Side_Cylinder,Soft,0.7,1.0,0.0,0.0
428,train,False,Cylinder,Soft,1.3,1.4,0.0,0.0
429,train,False,Cube,Open,0.4,1.2,1.4,1.7
430,train,False,Inverted_Cone,Open,1.0,0.9,1.4,0.7
431,train,False,Cylinder,Open,0.5,1.0,1.5,1.4
432,train,False,Cube,Open,0.5,1.3,1.1,1.0
433,train,False,Cone,Soft,0.9,0.8,0.0,0.0
434,train,False,Cylinder,Open,0.7,1.0,1.3,1.8
435,train,False,Sphere,Open,1.0,1.2,1.5,1.1
436,train,False,Inverted_Cone,Soft,1.6,0.7,0.0,0.0
437,train,False,Torus,Open,0.6,1.3,0.8,1.8
438,train,False,Cylinder,Open,1.4,1.1,1.1,1.4
439,train,False,Sphere,Open,0.5,0.6,1.1,0.9
440,train,False,Cube,Soft,0.6,0.7,0.0,0.0
441,train,False,Side_Cylinder,Open,1.2,0.8,1.6,1.4
442,train,False,Torus,Open,0.8,0.8,0.6,1.6
443,train,False,Sphere,Soft,0.4,0.8,0.0,0.0
444,train,False,Sphere,Open,1.1,0.8,0.7,1.3
445,train,False,Cone,Normal,0.5,0.5,0.0,0.0
446,train,False,Cone,Open,0.9,1.2,0.7,1.6
447,train,False,Torus,Normal,1.6,0.5,0.0,0.0
